dataset,taxaID,locus,gene,essentiality,pmid,Ref_db
199,224308,BSU36540,,NE,12682299,
199,224308,BSU36520,,NE,12682299,
199,224308,BSU36510,,NE,12682299,
199,224308,BSU36460,,NE,12682299,
199,224308,BSU36450,,NE,12682299,
199,224308,BSU36400,,NE,12682299,
199,224308,BSU36390,,NE,12682299,
199,224308,BSU36340,,NE,12682299,
199,224308,BSU36320,,NE,12682299,
199,224308,BSU36310,,NE,12682299,
199,224308,BSU36300,,NE,12682299,
199,224308,BSU36290,,NE,12682299,
199,224308,BSU36269,,NE,12682299,
199,224308,BSU36260,,NE,12682299,
199,224308,BSU36250,,NE,12682299,
199,224308,BSU36240,,NE,12682299,
199,224308,BSU36230,,NE,12682299,
199,224308,BSU36220,,NE,12682299,
199,224308,BSU36210,,NE,12682299,
199,224308,BSU36200,,NE,12682299,
199,224308,BSU36190,,NE,12682299,
199,224308,BSU36170,,NE,12682299,
199,224308,BSU36160,,NE,12682299,
199,224308,BSU36150,,NE,12682299,
199,224308,BSU36120,,NE,12682299,
199,224308,BSU36110,,NE,12682299,
199,224308,BSU36100,,NE,12682299,
199,224308,BSU36090,,NE,12682299,
199,224308,BSU36080,,NE,12682299,
199,224308,BSU36070,,NE,12682299,
199,224308,BSU36060,,NE,12682299,
199,224308,BSU36050,,NE,12682299,
199,224308,BSU36040,,NE,12682299,
199,224308,BSU36030,,NE,12682299,
199,224308,BSU36020,,NE,12682299,
199,224308,BSU35990,,NE,12682299,
199,224308,BSU35980,,NE,12682299,
199,224308,BSU35960,,NE,12682299,
199,224308,BSU35950,,NE,12682299,
199,224308,BSU35940,,NE,12682299,
199,224308,BSU35930,,NE,12682299,
199,224308,BSU35910,,NE,12682299,
199,224308,BSU35900,,NE,12682299,
199,224308,BSU35880,,NE,12682299,
199,224308,BSU35850,,NE,12682299,
199,224308,BSU35840,,NE,12682299,
199,224308,BSU35830,,NE,12682299,
199,224308,BSU35800,,NE,12682299,
199,224308,BSU35780,,NE,12682299,
199,224308,BSU35690,,NE,12682299,
199,224308,BSU35680,,NE,12682299,
199,224308,BSU35670,,NE,12682299,
199,224308,BSU35660,,NE,12682299,
199,224308,BSU35640,,NE,12682299,
199,224308,BSU35600,,NE,12682299,
199,224308,BSU35590,,NE,12682299,
199,224308,BSU35560,,NE,12682299,
199,224308,BSU35550,,NE,12682299,
199,224308,BSU35540,,NE,12682299,
199,224308,BSU35510,,NE,12682299,
199,224308,BSU35470,,NE,12682299,
199,224308,BSU35450,,NE,12682299,
199,224308,BSU35430,,NE,12682299,
199,224308,BSU35410,,NE,12682299,
199,224308,BSU35390,,NE,12682299,
199,224308,BSU35370,,NE,12682299,
199,224308,BSU35360,,NE,12682299,
199,224308,BSU35350,,NE,12682299,
199,224308,BSU35340,,NE,12682299,
199,224308,BSU35330,,NE,12682299,
199,224308,BSU35320,,NE,12682299,
199,224308,BSU35310,,NE,12682299,
199,224308,BSU35270,,NE,12682299,
199,224308,BSU35210,,NE,12682299,
199,224308,BSU35190,,NE,12682299,
199,224308,BSU35180,,NE,12682299,
199,224308,BSU35170,,NE,12682299,
199,224308,BSU35160,,NE,12682299,
199,224308,BSU35150,,NE,12682299,
199,224308,BSU35140,,NE,12682299,
199,224308,BSU35130,,NE,12682299,
199,224308,BSU35120,,NE,12682299,
199,224308,BSU35100,,NE,12682299,
199,224308,BSU35090,,NE,12682299,
199,224308,BSU35080,,NE,12682299,
199,224308,BSU35060,,NE,12682299,
199,224308,BSU35040,,NE,12682299,
199,224308,BSU35030,,NE,12682299,
199,224308,BSU35020,,NE,12682299,
199,224308,BSU34980,,NE,12682299,
199,224308,BSU34970,,NE,12682299,
199,224308,BSU34960,,NE,12682299,
199,224308,BSU34950,,NE,12682299,
199,224308,BSU34920,,NE,12682299,
199,224308,BSU34910,,NE,12682299,
199,224308,BSU34900,,NE,12682299,
199,224308,BSU34890,,NE,12682299,
199,224308,BSU34880,,NE,12682299,
199,224308,BSU34870,,NE,12682299,
199,224308,BSU34860,,NE,12682299,
199,224308,BSU34850,,NE,12682299,
199,224308,BSU34840,,NE,12682299,
199,224308,BSU34820,,NE,12682299,
199,224308,BSU34810,,NE,12682299,
199,224308,BSU34800,,NE,12682299,
199,224308,BSU34780,,NE,12682299,
199,224308,BSU34770,,NE,12682299,
199,224308,BSU34750,,NE,12682299,
199,224308,BSU34740,,NE,12682299,
199,224308,BSU34730,,NE,12682299,
199,224308,BSU34729,,NE,12682299,
199,224308,BSU34710,,NE,12682299,
199,224308,BSU34700,,NE,12682299,
199,224308,BSU34680,,NE,12682299,
199,224308,BSU34660,,NE,12682299,
199,224308,BSU34640,,NE,12682299,
199,224308,BSU34630,,NE,12682299,
199,224308,BSU34620,,NE,12682299,
199,224308,BSU34610,,NE,12682299,
