dataset,taxaID,locus,gene,essentiality,pmid,Ref_db
168,83332,Rv0280,,NE,14569030,
168,83332,Rv0281,,NE,14569030,
168,83332,Rv0287,,NE,14569030,
168,83332,Rv0288,,NE,14569030,
168,83332,Rv0294,,NE,14569030,
168,83332,Rv0295c,,NE,14569030,
168,83332,Rv0296c,,NE,14569030,
168,83332,Rv0297,,NE,14569030,
168,83332,Rv0298,,NE,14569030,
168,83332,Rv0299,,NE,14569030,
168,83332,Rv0300,,NE,14569030,
168,83332,Rv0301,,NE,14569030,
168,83332,Rv0302,,NE,14569030,
168,83332,Rv0303,,NE,14569030,
168,83332,Rv0304c,,NE,14569030,
168,83332,Rv0305c,,NE,14569030,
168,83332,Rv0306,,NE,14569030,
168,83332,Rv0307c,,NE,14569030,
168,83332,Rv0308,,NE,14569030,
168,83332,Rv0310c,,NE,14569030,
168,83332,Rv0313,,NE,14569030,
168,83332,Rv0314c,,NE,14569030,
168,83332,Rv0315,,NE,14569030,
168,83332,Rv0316,,NE,14569030,
168,83332,Rv0317c,,NE,14569030,
168,83332,Rv0318c,,NE,14569030,
168,83332,Rv0319,,NE,14569030,
168,83332,Rv0320,,NE,14569030,
168,83332,Rv0321,,NE,14569030,
168,83332,Rv0322,,NE,14569030,
168,83332,Rv0323c,,NE,14569030,
168,83332,Rv0325,,NE,14569030,
168,83332,Rv0327c,,NE,14569030,
168,83332,Rv0329c,,NE,14569030,
168,83332,Rv0330c,,NE,14569030,
168,83332,Rv0331,,NE,14569030,
168,83332,Rv0332,,NE,14569030,
168,83332,Rv0333,,NE,14569030,
168,83332,Rv0335c,,NE,14569030,
168,83332,Rv0336,,NE,14569030,
168,83332,Rv0340,,NE,14569030,
168,83332,Rv0341,,NE,14569030,
168,83332,Rv0342,,NE,14569030,
168,83332,Rv0344c,,NE,14569030,
168,83332,Rv0345,,NE,14569030,
168,83332,Rv0346c,,NE,14569030,
168,83332,Rv0348,,NE,14569030,
168,83332,Rv0349,,NE,14569030,
168,83332,Rv0351,,NE,14569030,
168,83332,Rv0353,,NE,14569030,
168,83332,Rv0354c,,NE,14569030,
168,83332,Rv0355c,,NE,14569030,
168,83332,Rv0356c,,NE,14569030,
168,83332,Rv0359,,NE,14569030,
168,83332,Rv0360c,,NE,14569030,
168,83332,Rv0361,,NE,14569030,
168,83332,Rv0362,,NE,14569030,
168,83332,Rv0364,,NE,14569030,
168,83332,Rv0365c,,NE,14569030,
168,83332,Rv0368c,,NE,14569030,
168,83332,Rv0369c,,NE,14569030,
168,83332,Rv0375c,,NE,14569030,
168,83332,Rv0376c,,NE,14569030,
168,83332,Rv0378,,NE,14569030,
168,83332,Rv0379,,NE,14569030,
168,83332,Rv0380c,,NE,14569030,
168,83332,Rv0381c,,NE,14569030,
168,83332,Rv0385,,NE,14569030,
168,83332,Rv0386,,NE,14569030,
168,83332,Rv0387c,,NE,14569030,
168,83332,Rv0388c,,NE,14569030,
168,83332,Rv0389,,NE,14569030,
168,83332,Rv0390,,NE,14569030,
168,83332,Rv0391,,NE,14569030,
168,83332,Rv0392c,,NE,14569030,
168,83332,Rv0393,,NE,14569030,
168,83332,Rv0394c,,NE,14569030,
168,83332,Rv0395,,NE,14569030,
168,83332,Rv0396,,NE,14569030,
168,83332,Rv0397,,NE,14569030,
168,83332,Rv0398c,,NE,14569030,
168,83332,Rv0402c,,NE,14569030,
168,83332,Rv0403c,,NE,14569030,
168,83332,Rv0405,,NE,14569030,
168,83332,Rv0406c,,NE,14569030,
168,83332,Rv0408,,NE,14569030,
168,83332,Rv0409,,NE,14569030,
168,83332,Rv0413,,NE,14569030,
168,83332,Rv0418,,NE,14569030,
168,83332,Rv0419,,NE,14569030,
168,83332,Rv0420c,,NE,14569030,
168,83332,Rv0421c,,NE,14569030,
168,83332,Rv0424c,,NE,14569030,
168,83332,Rv0425c,,NE,14569030,
168,83332,Rv0426c,,NE,14569030,
168,83332,Rv0428c,,NE,14569030,
168,83332,Rv0432,,NE,14569030,
168,83332,Rv0433,,NE,14569030,
168,83332,Rv0434,,NE,14569030,
168,83332,Rv0435c,,NE,14569030,
168,83332,Rv0438c,,NE,14569030,
168,83332,Rv0439c,,NE,14569030,
168,83332,Rv0441c,,NE,14569030,
168,83332,Rv0442c,,NE,14569030,
168,83332,Rv0443,,NE,14569030,
168,83332,Rv0444c,,NE,14569030,
168,83332,Rv0445c,,NE,14569030,
168,83332,Rv0446c,,NE,14569030,
168,83332,Rv0447c,,NE,14569030,
168,83332,Rv0448c,,NE,14569030,
168,83332,Rv0449c,,NE,14569030,
168,83332,Rv0451c,,NE,14569030,
168,83332,Rv0452,,NE,14569030,
168,83332,Rv0453,,NE,14569030,
168,83332,Rv0454,,NE,14569030,
168,83332,Rv0455c,,NE,14569030,
168,83332,Rv0456c,,NE,14569030,
168,83332,Rv0457c,,NE,14569030,
168,83332,Rv0458,,NE,14569030,
168,83332,Rv0459,,NE,14569030,
168,83332,Rv0460,,NE,14569030,
168,83332,Rv0461,,NE,14569030,
168,83332,Rv0463,,NE,14569030,
168,83332,Rv0464c,,NE,14569030,
168,83332,Rv0465c,,NE,14569030,
168,83332,Rv0466,,NE,14569030,
168,83332,Rv0468,,NE,14569030,
168,83332,Rv0469,,NE,14569030,
168,83332,Rv0471c,,NE,14569030,
168,83332,Rv0473,,NE,14569030,
168,83332,Rv0474,,NE,14569030,
168,83332,Rv0475,,NE,14569030,
168,83332,Rv0476,,NE,14569030,
168,83332,Rv0477,,NE,14569030,
168,83332,Rv0478,,NE,14569030,
168,83332,Rv0480c,,NE,14569030,
168,83332,Rv0481c,,NE,14569030,
