,Gene,Prediction,Measured_growth,Growth_cutoff,Computational_growth,Condition,Dataset
22289,b0485,TP,"0,92","0,5","0,8217979336",Glucose,Monk 2015
22290,b0493,TP,"1,003333333","0,5","0,8217979336",Glucose,Monk 2015
22291,b0494,TP,"0,98","0,5","0,8217979336",Glucose,Monk 2015
22292,b0505,TP,"0,986666667","0,5","0,8217979336",Glucose,Monk 2015
22293,b0507,TP,"1,023333333","0,5","0,8217979336",Glucose,Monk 2015
22294,b0508,TP,"0,953333333","0,5","0,8217979336",Glucose,Monk 2015
22295,b0509,TP,"0,946666667","0,5","0,8217979336",Glucose,Monk 2015
22296,b0511,TP,"1,055","0,5","0,8217979336",Glucose,Monk 2015
22297,b0512,TP,"0,913333333","0,5","0,8217979336",Glucose,Monk 2015
22298,b0514,TP,"0,783333333","0,5","0,8217979336",Glucose,Monk 2015
22299,b0515,TP,"0,916666667","0,5","0,8217979336",Glucose,Monk 2015
22300,b0516,TP,"0,893333333","0,5","0,8217979336",Glucose,Monk 2015
22301,b0517,TP,"0,983333333","0,5","0,8217979336",Glucose,Monk 2015
22302,b0521,TP,"0,91","0,5","0,813673382",Glucose,Monk 2015
22303,b0522,TN,0,"0,5",0,Glucose,Monk 2015
22304,b0523,TN,0,"0,5",0,Glucose,Monk 2015
22305,b0524,TN,0,"0,5",0,Glucose,LB_essential
22306,b0529,FP,0,"0,5","0,803243054",Glucose,LB_essential
22307,b0543,TP,"1,05","0,5","0,8217979336",Glucose,Monk 2015
22308,b0572,TP,"0,983333333","0,5","0,8217979336",Glucose,Monk 2015
22309,b0573,TP,"0,98","0,5","0,8217979336",Glucose,Monk 2015
22310,b0574,TP,"0,94","0,5","0,8217979336",Glucose,Monk 2015
22311,b0575,TP,"0,95","0,5","0,8217979336",Glucose,Monk 2015
22312,b0576,TP,"0,983333333","0,5","0,8217979336",Glucose,Monk 2015
22313,b0577,TP,"1,063333333","0,5","0,8217979336",Glucose,Monk 2015
22314,b0578,TP,"0,976666667","0,5","0,8217979336",Glucose,Monk 2015
22315,b0583,FP,0,"0,5","0,8217979336",Glucose,LB_essential
22316,b0584,TP,"0,58","0,5","0,8217979336",Glucose,Monk 2015
22317,b0585,FP,"0,146666667","0,5","0,8217979336",Glucose,Monk 2015
22318,b0586,TP,"0,933333333","0,5","0,8217979336",Glucose,Monk 2015
22319,b0588,FP,"0,106666667","0,5","0,8217979336",Glucose,Monk 2015
22320,b0589,FP,"0,08","0,5","0,8217979336",Glucose,Monk 2015
22321,b0590,FP,"0,006666667","0,5","0,8217979336",Glucose,Monk 2015
22322,b0591,TP,"1,036666667","0,5","0,8217979336",Glucose,Monk 2015
22323,b0592,FP,"0,05","0,5","0,8217979336",Glucose,Monk 2015
22324,b0593,TP,"0,966666667","0,5","0,8217979336",Glucose,Monk 2015
22325,b0594,TP,"0,77","0,5","0,8217979336",Glucose,Monk 2015
22326,b0595,TP,"0,913333333","0,5","0,8217979336",Glucose,Monk 2015
22327,b0596,TP,"0,983333333","0,5","0,8217979336",Glucose,Monk 2015
22328,b0597,TP,"0,98","0,5","0,8217979336",Glucose,Monk 2015
22329,b0604,TP,"1,066666667","0,5","0,8217979336",Glucose,Monk 2015
22330,b0605,TP,"1,01","0,5","0,8217979336",Glucose,Monk 2015
22331,b0606,TP,"1,02","0,5","0,8217979336",Glucose,Monk 2015
22332,b0612,TP,"1,016666667","0,5","0,8217979336",Glucose,Monk 2015
22333,b0613,TP,"0,986666667","0,5","0,8217979336",Glucose,Monk 2015
22334,b0614,TP,"0,986666667","0,5","0,8217979336",Glucose,Monk 2015
22335,b0615,TP,"0,991666667","0,5","0,8217979336",Glucose,Monk 2015
22336,b0616,TP,"1,023333333","0,5","0,8217979336",Glucose,Monk 2015
22337,b0617,TP,"1,006666667","0,5","0,8217979336",Glucose,Monk 2015
22338,b0622,TP,"0,96","0,5","0,8217979336",Glucose,Monk 2015
22339,b0624,TP,"0,94","0,5","0,8217979336",Glucose,Monk 2015
22340,b0628,FP,"0,271666667","0,5","0,8217979336",Glucose,Monk 2015
22341,b0630,TP,"0,78","0,5","0,8217979336",Glucose,Monk 2015
22342,b0632,TP,"0,86","0,5","0,8217979336",Glucose,Monk 2015
22343,b0635,TN,0,"0,5",0,Glucose,LB_essential
22344,b0638,TP,"0,93","0,5","0,8217979336",Glucose,Monk 2015
